category,date,value,type,age,age_char
schools_closed,2020-05-11,1,double,17,17
schools_closed,2020-05-11,1,double,18,18
schools_closed,2020-05-11,1,double,19,19
schools_closed,2020-05-11,1,double,20,20
schools_closed,2020-05-11,1,double,21,21
schools_closed,2020-05-11,1,double,22,22
schools_closed,2020-05-11,1,double,23,23
schools_closed,2020-05-11,1,double,24,24
schools_closed,2020-05-11,1,double,25,25
community_distancing,2020-05-12,0.65,double,NA,NA
workplace_distancing,2020-05-12,0.65,double,NA,NA
community_distancing,2020-05-13,0.65,double,NA,NA
workplace_distancing,2020-05-13,0.65,double,NA,NA
community_distancing,2020-05-14,0.65,double,NA,NA
workplace_distancing,2020-05-14,0.65,double,NA,NA
community_distancing,2020-05-15,0.65,double,NA,NA
workplace_distancing,2020-05-15,0.65,double,NA,NA
community_distancing,2020-05-16,0.65,double,NA,NA
workplace_distancing,2020-05-16,0.65,double,NA,NA
community_distancing,2020-05-17,0.65,double,NA,NA
workplace_distancing,2020-05-17,0.65,double,NA,NA
community_distancing,2020-05-18,0.65,double,NA,NA
workplace_distancing,2020-05-18,0.65,double,NA,NA
community_distancing,2020-05-19,0.65,double,NA,NA
workplace_distancing,2020-05-19,0.65,double,NA,NA
community_distancing,2020-05-20,0.65,double,NA,NA
workplace_distancing,2020-05-20,0.65,double,NA,NA
community_distancing,2020-05-21,0.65,double,NA,NA
workplace_distancing,2020-05-21,0.65,double,NA,NA
community_distancing,2020-05-22,0.65,double,NA,NA
workplace_distancing,2020-05-22,0.65,double,NA,NA
community_distancing,2020-05-23,0.65,double,NA,NA
workplace_distancing,2020-05-23,0.65,double,NA,NA
community_distancing,2020-05-24,0.65,double,NA,NA
workplace_distancing,2020-05-24,0.65,double,NA,NA
community_distancing,2020-05-25,0.65,double,NA,NA
workplace_distancing,2020-05-25,0.65,double,NA,NA
community_distancing,2020-05-26,0.65,double,NA,NA
workplace_distancing,2020-05-26,0.65,double,NA,NA
community_distancing,2020-05-27,0.65,double,NA,NA
workplace_distancing,2020-05-27,0.65,double,NA,NA
community_distancing,2020-05-28,0.65,double,NA,NA
workplace_distancing,2020-05-28,0.65,double,NA,NA
community_distancing,2020-05-29,0.65,double,NA,NA
workplace_distancing,2020-05-29,0.65,double,NA,NA
community_distancing,2020-05-30,0.65,double,NA,NA
workplace_distancing,2020-05-30,0.65,double,NA,NA
community_distancing,2020-05-31,0.65,double,NA,NA
workplace_distancing,2020-05-31,0.65,double,NA,NA
community_distancing,2020-06-01,0.65,double,NA,NA
workplace_distancing,2020-06-01,0.65,double,NA,NA
community_distancing,2020-06-02,0.65,double,NA,NA
workplace_distancing,2020-06-02,0.65,double,NA,NA
community_distancing,2020-06-03,0.65,double,NA,NA
workplace_distancing,2020-06-03,0.65,double,NA,NA
community_distancing,2020-06-04,0.65,double,NA,NA
workplace_distancing,2020-06-04,0.65,double,NA,NA
community_distancing,2020-06-05,0.65,double,NA,NA
workplace_distancing,2020-06-05,0.65,double,NA,NA
community_distancing,2020-06-06,0.65,double,NA,NA
workplace_distancing,2020-06-06,0.65,double,NA,NA
community_distancing,2020-06-07,0.65,double,NA,NA
workplace_distancing,2020-06-07,0.65,double,NA,NA
community_distancing,2020-06-08,0.65,double,NA,NA
workplace_distancing,2020-06-08,0.65,double,NA,NA
community_distancing,2020-06-09,0.65,double,NA,NA
workplace_distancing,2020-06-09,0.65,double,NA,NA
community_distancing,2020-06-10,0.65,double,NA,NA
workplace_distancing,2020-06-10,0.65,double,NA,NA
community_distancing,2020-06-11,0.65,double,NA,NA
workplace_distancing,2020-06-11,0.65,double,NA,NA
community_distancing,2020-06-12,0.65,double,NA,NA
workplace_distancing,2020-06-12,0.65,double,NA,NA
community_distancing,2020-06-13,0.65,double,NA,NA
workplace_distancing,2020-06-13,0.65,double,NA,NA
community_distancing,2020-06-14,0.65,double,NA,NA
workplace_distancing,2020-06-14,0.65,double,NA,NA
community_distancing,2020-06-15,0.65,double,NA,NA
workplace_distancing,2020-06-15,0.65,double,NA,NA
community_distancing,2020-06-16,0.65,double,NA,NA
workplace_distancing,2020-06-16,0.65,double,NA,NA
community_distancing,2020-06-17,0.65,double,NA,NA
workplace_distancing,2020-06-17,0.65,double,NA,NA
community_distancing,2020-06-18,0.65,double,NA,NA
workplace_distancing,2020-06-18,0.65,double,NA,NA
community_distancing,2020-06-19,0.65,double,NA,NA
workplace_distancing,2020-06-19,0.65,double,NA,NA
community_distancing,2020-06-20,0.65,double,NA,NA
workplace_distancing,2020-06-20,0.65,double,NA,NA
community_distancing,2020-06-21,0.65,double,NA,NA
workplace_distancing,2020-06-21,0.65,double,NA,NA
community_distancing,2020-06-22,0.65,double,NA,NA
workplace_distancing,2020-06-22,0.65,double,NA,NA
community_distancing,2020-06-23,0.65,double,NA,NA
workplace_distancing,2020-06-23,0.65,double,NA,NA
community_distancing,2020-06-24,0.65,double,NA,NA
workplace_distancing,2020-06-24,0.65,double,NA,NA
community_distancing,2020-06-25,0.65,double,NA,NA
workplace_distancing,2020-06-25,0.65,double,NA,NA
community_distancing,2020-06-26,0.65,double,NA,NA
workplace_distancing,2020-06-26,0.65,double,NA,NA
community_distancing,2020-06-27,0.65,double,NA,NA
workplace_distancing,2020-06-27,0.65,double,NA,NA
community_distancing,2020-06-28,0.65,double,NA,NA
workplace_distancing,2020-06-28,0.65,double,NA,NA
community_distancing,2020-06-29,0.65,double,NA,NA
workplace_distancing,2020-06-29,0.65,double,NA,NA
community_distancing,2020-06-30,0.65,double,NA,NA
workplace_distancing,2020-06-30,0.65,double,NA,NA
community_distancing,2020-07-01,0.65,double,NA,NA
workplace_distancing,2020-07-01,0.65,double,NA,NA
community_distancing,2020-07-02,0.65,double,NA,NA
workplace_distancing,2020-07-02,0.65,double,NA,NA
community_distancing,2020-07-03,0.65,double,NA,NA
workplace_distancing,2020-07-03,0.65,double,NA,NA
community_distancing,2020-07-04,0.65,double,NA,NA
workplace_distancing,2020-07-04,0.65,double,NA,NA
community_distancing,2020-07-05,0.65,double,NA,NA
workplace_distancing,2020-07-05,0.65,double,NA,NA
community_distancing,2020-07-06,0.65,double,NA,NA
workplace_distancing,2020-07-06,0.65,double,NA,NA
community_distancing,2020-07-07,0.65,double,NA,NA
workplace_distancing,2020-07-07,0.65,double,NA,NA
community_distancing,2020-07-08,0.65,double,NA,NA
workplace_distancing,2020-07-08,0.65,double,NA,NA
community_distancing,2020-07-09,0.65,double,NA,NA
workplace_distancing,2020-07-09,0.65,double,NA,NA
community_distancing,2020-07-10,0.65,double,NA,NA
workplace_distancing,2020-07-10,0.65,double,NA,NA
community_distancing,2020-07-11,0.65,double,NA,NA
workplace_distancing,2020-07-11,0.65,double,NA,NA
community_distancing,2020-07-12,0.65,double,NA,NA
workplace_distancing,2020-07-12,0.65,double,NA,NA
community_distancing,2020-07-13,0.65,double,NA,NA
workplace_distancing,2020-07-13,0.65,double,NA,NA
community_distancing,2020-07-14,0.65,double,NA,NA
workplace_distancing,2020-07-14,0.65,double,NA,NA
community_distancing,2020-07-15,0.65,double,NA,NA
workplace_distancing,2020-07-15,0.65,double,NA,NA
community_distancing,2020-07-16,0.65,double,NA,NA
workplace_distancing,2020-07-16,0.65,double,NA,NA
community_distancing,2020-07-17,0.65,double,NA,NA
workplace_distancing,2020-07-17,0.65,double,NA,NA
community_distancing,2020-07-18,0.65,double,NA,NA
workplace_distancing,2020-07-18,0.65,double,NA,NA
community_distancing,2020-07-19,0.65,double,NA,NA
workplace_distancing,2020-07-19,0.65,double,NA,NA
community_distancing,2020-07-20,0.65,double,NA,NA
workplace_distancing,2020-07-20,0.65,double,NA,NA
community_distancing,2020-07-21,0.65,double,NA,NA
workplace_distancing,2020-07-21,0.65,double,NA,NA
community_distancing,2020-07-22,0.65,double,NA,NA
workplace_distancing,2020-07-22,0.65,double,NA,NA
community_distancing,2020-07-23,0.65,double,NA,NA
workplace_distancing,2020-07-23,0.65,double,NA,NA
community_distancing,2020-07-24,0.65,double,NA,NA
workplace_distancing,2020-07-24,0.65,double,NA,NA
community_distancing,2020-07-25,0.65,double,NA,NA
workplace_distancing,2020-07-25,0.65,double,NA,NA
community_distancing,2020-07-26,0.65,double,NA,NA
workplace_distancing,2020-07-26,0.65,double,NA,NA
community_distancing,2020-07-27,0.65,double,NA,NA
workplace_distancing,2020-07-27,0.65,double,NA,NA
community_distancing,2020-07-28,0.65,double,NA,NA
workplace_distancing,2020-07-28,0.65,double,NA,NA
community_distancing,2020-07-29,0.65,double,NA,NA
workplace_distancing,2020-07-29,0.65,double,NA,NA
community_distancing,2020-07-30,0.65,double,NA,NA
workplace_distancing,2020-07-30,0.65,double,NA,NA
community_distancing,2020-07-31,0.65,double,NA,NA
workplace_distancing,2020-07-31,0.65,double,NA,NA
community_distancing,2020-08-01,0.65,double,NA,NA
workplace_distancing,2020-08-01,0.65,double,NA,NA
community_distancing,2020-08-02,0.65,double,NA,NA
workplace_distancing,2020-08-02,0.65,double,NA,NA
community_distancing,2020-08-03,0.65,double,NA,NA
workplace_distancing,2020-08-03,0.65,double,NA,NA
community_distancing,2020-08-04,0.65,double,NA,NA
workplace_distancing,2020-08-04,0.65,double,NA,NA
community_distancing,2020-08-05,0.65,double,NA,NA
workplace_distancing,2020-08-05,0.65,double,NA,NA
community_distancing,2020-08-06,0.65,double,NA,NA
workplace_distancing,2020-08-06,0.65,double,NA,NA
community_distancing,2020-08-07,0.65,double,NA,NA
workplace_distancing,2020-08-07,0.65,double,NA,NA
community_distancing,2020-08-08,0.65,double,NA,NA
workplace_distancing,2020-08-08,0.65,double,NA,NA
community_distancing,2020-08-09,0.65,double,NA,NA
workplace_distancing,2020-08-09,0.65,double,NA,NA
community_distancing,2020-08-10,0.65,double,NA,NA
workplace_distancing,2020-08-10,0.65,double,NA,NA
community_distancing,2020-08-11,0.65,double,NA,NA
workplace_distancing,2020-08-11,0.65,double,NA,NA
community_distancing,2020-08-12,0.65,double,NA,NA
workplace_distancing,2020-08-12,0.65,double,NA,NA
community_distancing,2020-08-13,0.65,double,NA,NA
workplace_distancing,2020-08-13,0.65,double,NA,NA
community_distancing,2020-08-14,0.65,double,NA,NA
workplace_distancing,2020-08-14,0.65,double,NA,NA
community_distancing,2020-08-15,0.65,double,NA,NA
workplace_distancing,2020-08-15,0.65,double,NA,NA
community_distancing,2020-08-16,0.65,double,NA,NA
workplace_distancing,2020-08-16,0.65,double,NA,NA
community_distancing,2020-08-17,0.65,double,NA,NA
workplace_distancing,2020-08-17,0.65,double,NA,NA
community_distancing,2020-08-18,0.65,double,NA,NA
workplace_distancing,2020-08-18,0.65,double,NA,NA
community_distancing,2020-08-19,0.65,double,NA,NA
workplace_distancing,2020-08-19,0.65,double,NA,NA
community_distancing,2020-08-20,0.65,double,NA,NA
workplace_distancing,2020-08-20,0.65,double,NA,NA
community_distancing,2020-08-21,0.65,double,NA,NA
workplace_distancing,2020-08-21,0.65,double,NA,NA
community_distancing,2020-08-22,0.65,double,NA,NA
workplace_distancing,2020-08-22,0.65,double,NA,NA
community_distancing,2020-08-23,0.65,double,NA,NA
workplace_distancing,2020-08-23,0.65,double,NA,NA
community_distancing,2020-08-24,0.65,double,NA,NA
workplace_distancing,2020-08-24,0.65,double,NA,NA
community_distancing,2020-08-25,0.65,double,NA,NA
workplace_distancing,2020-08-25,0.65,double,NA,NA
community_distancing,2020-08-26,0.65,double,NA,NA
workplace_distancing,2020-08-26,0.65,double,NA,NA
community_distancing,2020-08-27,0.65,double,NA,NA
workplace_distancing,2020-08-27,0.65,double,NA,NA
community_distancing,2020-08-28,0.65,double,NA,NA
workplace_distancing,2020-08-28,0.65,double,NA,NA
community_distancing,2020-08-29,0.65,double,NA,NA
workplace_distancing,2020-08-29,0.65,double,NA,NA
